Company,Pictogram,Text,Face,TextArea,category
inbursa,True,True,False,0.3189453125,Combination mark
bayer cropscience,False,True,False,0.306689453125,Combination mark
j. jill,False,True,False,0.613134765625,Wordmark
lifepoint hospitals,False,True,False,0.523125,Combination mark
alvarez & marsal,False,True,False,0.6549609375,Wordmark
geometric ltd.,False,False,False,0.0,Abstract mark
thermo domus,False,False,False,0.0,Abstract mark
spotify,False,True,False,0.30505859375,Combination mark
united technologies,True,True,False,0.48955078125,Combination mark
gucci,False,False,False,0.0,Abstract mark
asian development bank,True,True,False,0.61318359375,Emblem logo
virtusa,False,False,False,0.0,Abstract mark
cuadros roma lifestyle,True,True,False,0.11128906250000001,Combination mark
virtualproductpresentation,False,False,False,0.0,Abstract mark
advocare,True,True,False,1.125947265625,Emblem logo
'agromash holding,True,True,False,0.404921875,Combination mark
randstad,False,True,False,0.546875,Combination mark
emory healthcare,False,True,False,0.532939453125,Combination mark
dyno nobel,False,True,False,1.0030859374999999,Wordmark
world wide technology,False,False,False,0.0,Abstract mark
people's united bank,True,True,False,0.469912109375,Combination mark
royal air force,False,True,False,0.80912109375,Wordmark
freddie mac,False,False,False,0.0,Abstract mark
o'reilly auto parts,True,True,False,0.04388671875,Combination mark
polismyndigheten,True,True,False,0.047509765625,Combination mark
cna idiomas - oficial,False,False,False,0.0,Abstract mark
gobierno del estado,False,True,False,0.2679296875,Combination mark
ari,False,False,False,0.0,Abstract mark
servizo galego de saúde,False,True,True,0.12001953125,Mascot logo
bv financeira,False,True,False,0.242578125,Combination mark
pt astra honda motor,True,False,False,0.0,Pictorial mark
asm,True,False,False,0.0,Pictorial mark
the open university,False,False,False,0.0,Abstract mark
trinity mirror plc,False,False,False,0.0,Abstract mark
99designs,False,False,False,0.0,Abstract mark
binghamton university,False,True,False,0.8377050781250001,Wordmark
kuarzo inversiones,False,False,False,0.0,Abstract mark
rexel,False,True,False,0.259423828125,Combination mark
pontificia universidad javeriana,True,True,False,0.233037109375,Combination mark
apex systems,False,True,False,0.33016601562500003,Combination mark
copenhagen business school,False,True,False,0.08056640625,Combination mark
saur,False,False,False,0.0,Abstract mark
coldwell banker bain,False,True,False,0.186220703125,Combination mark
thales alenia space,False,True,False,0.6076171875,Wordmark
carrier enterprise,True,True,True,0.231875,Mascot logo
martinrea international,False,False,False,0.0,Abstract mark
mexichem,False,True,False,0.796875,Wordmark
owens corning,True,True,False,0.27322265625,Combination mark
construction industry,False,False,False,0.0,Abstract mark
national cancer institute (nci),True,True,False,1.0796875,Emblem logo
mercury marine,False,True,False,0.172265625,Combination mark
odebrecht agroindustrial,False,True,False,0.3171875,Combination mark
kehe distributors,True,True,True,0.83890625,Mascot logo
sava senior care,False,True,False,0.39737304687499997,Combination mark
bt telconsult,True,True,False,0.287080078125,Combination mark
columbus state community college,False,True,False,0.128359375,Combination mark
covenant health system,False,True,False,0.36025390625,Combination mark
hud,False,True,True,0.31963867187500006,Mascot logo
robert bosch,False,True,False,0.166689453125,Combination mark
consultorio odontologico,False,False,False,0.0,Abstract mark
keller williams realty,False,True,False,0.51462890625,Combination mark
globalfoundries,False,True,False,0.20495117187499998,Combination mark
comau,False,True,True,0.47587890625,Mascot logo
air transat,True,True,True,0.167294921875,Mascot logo
sap ariba,False,True,False,0.5630859375,Combination mark
heidelberg,False,True,False,0.61166015625,Wordmark
kennedys,False,False,False,0.0,Abstract mark
generali italia s.p.a.,False,True,False,0.59982421875,Combination mark
tdk,False,False,False,0.0,Abstract mark
martin marietta,True,True,False,0.068466796875,Combination mark
自由企业家联盟 freedom entrepreneurs alliance （自企盟）,False,True,False,0.06990234375,Combination mark
jeunesse global,False,True,False,0.28403320312499997,Combination mark
crown prosecution service,True,True,False,0.5051953125,Combination mark
usiminas,False,False,False,0.0,Abstract mark
watson realty corp.,False,True,False,0.39158203125,Combination mark
renaissance hotels,False,False,False,0.0,Abstract mark
norrbottens läns landsting (nll),False,True,False,0.018427734374999998,Combination mark
novartis institutes for biomedical research (nibr),False,True,False,0.70068359375,Wordmark
manpower france,True,True,False,0.6400390625,Emblem logo
kpmg global services (kgs),False,True,False,0.66259765625,Wordmark
ibm canada,False,False,False,0.0,Abstract mark
acibadem healthcare group,False,False,False,0.0,Abstract mark
reed,False,False,False,0.0,Abstract mark
textron systems,False,True,False,0.784921875,Wordmark
jsw steel ltd,True,True,False,0.409130859375,Combination mark
avery dennison label and packaging materials,True,True,False,0.2066015625,Combination mark
essity,False,True,False,0.77171875,Wordmark
"hologic, inc.",False,True,False,0.7247851562500001,Wordmark
university of newcastle,True,True,False,0.48776367187499997,Combination mark
t-mobile,False,True,False,0.511103515625,Combination mark
san miguel corporation,False,False,False,0.0,Abstract mark
mtn ghana,False,True,False,0.10705078125,Combination mark
pôle emploi,False,True,False,0.329755859375,Combination mark
mgen,False,False,True,0.0,Mascot logo
deloitte danmark,False,False,False,0.0,Abstract mark
california department of water resources,True,True,False,0.231044921875,Combination mark
trenitalia s.p.a.,False,True,False,0.303330078125,Combination mark
csx,False,True,False,0.48017578125,Combination mark
the whiting-turner contracting company,False,False,False,0.0,Abstract mark
instituto profesional aiep,False,False,False,0.0,Abstract mark
b & c group,False,True,False,0.303359375,Combination mark
universidad tecnologica inacap,False,True,False,0.587666015625,Combination mark
svb sociale verzekeringsbank,False,True,False,0.282548828125,Combination mark
valeo,False,True,False,0.749267578125,Wordmark
propia,True,True,False,0.16448242187499998,Combination mark
total wine & more,False,True,False,0.172822265625,Combination mark
the college of st. scholastica,False,True,False,0.527880859375,Combination mark
