,Company,Pictogram,Text,Face,TextArea,category,label
4,gucci,False,False,False,0.0,Abstract mark,1
8,'agromash holding,False,False,False,0.0,Abstract mark,1
12,world wide technology,False,False,False,0.0,Abstract mark,1
14,freddie mac,False,False,False,0.0,Abstract mark,1
19,ari,False,False,False,0.0,Abstract mark,1
22,pt astra honda motor,True,False,False,0.0,Pictorial mark,0
23,asm,True,False,False,0.0,Pictorial mark,0
24,the open university,False,False,False,0.0,Abstract mark,1
25,trinity mirror plc,False,False,False,0.0,Abstract mark,1
26,99designs,False,False,False,0.0,Abstract mark,1
28,kuarzo inversiones,False,False,False,0.0,Abstract mark,1
33,saur,True,False,False,0.0,Pictorial mark,0
36,construction industry,False,False,False,0.0,Abstract mark,1
43,covenant health system,False,False,False,0.0,Abstract mark,1
55,tdk,False,False,False,0.0,Abstract mark,1
57,自由企业家联盟 freedom entrepreneurs alliance （自企盟）,False,False,False,0.0,Abstract mark,1
60,usiminas,False,False,False,0.0,Abstract mark,1
62,renaissance hotels,False,False,False,0.0,Abstract mark,1
65,acibadem healthcare group,False,False,False,0.0,Abstract mark,1
66,reed,False,False,False,0.0,Abstract mark,1
68,dtz,False,False,False,0.0,Abstract mark,1
73,san miguel corporation,False,False,False,0.0,Abstract mark,1
75,mgen,False,False,False,0.0,Abstract mark,1
76,deloitte danmark,False,False,False,0.0,Abstract mark,1
79,the whiting-turner contracting company,False,False,False,0.0,Abstract mark,1
88,wolseley,False,False,False,0.0,Abstract mark,1
89,egt human resources,False,False,False,0.0,Abstract mark,1
91,tiger brands,True,False,False,0.0,Pictorial mark,0
92,dura vermeer,False,False,False,0.0,Abstract mark,1
93,yrc freight,False,False,False,0.0,Abstract mark,1
98,ascension information services (ais),True,False,False,0.0,Pictorial mark,0
105,école,False,False,False,0.0,Abstract mark,1
106,afl,False,False,False,0.0,Abstract mark,1
107,brown university,True,False,False,0.0,Pictorial mark,0
110,cn,False,False,False,0.0,Abstract mark,1
113,ranbaxy,True,False,False,0.0,Pictorial mark,0
114,university of westminster,False,False,False,0.0,Abstract mark,1
118,express scripts,False,False,False,0.0,Abstract mark,1
122,west usa realty,False,False,False,0.0,Abstract mark,1
125,monsoon accessorize,False,False,False,0.0,Abstract mark,1
126,connection,False,False,False,0.0,Abstract mark,1
128,cnfpt (centre national de la fonction publique territoriale),False,False,False,0.0,Abstract mark,1
133,obi group holding,False,False,False,0.0,Abstract mark,1
134,grameenphone ltd,False,False,False,0.0,Abstract mark,1
136,canterbury district health board,False,False,False,0.0,Abstract mark,1
138,im internet gmbh,False,False,False,0.0,Abstract mark,1
139,east west bank,False,False,False,0.0,Abstract mark,1
140,beca,False,False,False,0.0,Abstract mark,1
142,ministerio de relaciones exteriores,False,False,False,0.0,Abstract mark,1
143,ak steel corporation,False,False,False,0.0,Abstract mark,1
147,neuberger berman,False,False,False,0.0,Abstract mark,1
151,alion science and technology,False,False,False,0.0,Abstract mark,1
155,canyons school district,False,False,False,0.0,Abstract mark,1
156,puma,False,False,False,0.0,Abstract mark,1
159,regions bank,True,False,False,0.0,Pictorial mark,0
164,standard & poor's,False,False,False,0.0,Abstract mark,1
170,universidad de san carlos de guatemala,False,False,False,0.0,Abstract mark,1
175,southern cross austereo,False,False,False,0.0,Abstract mark,1
178,oregon state university,True,False,False,0.0,Pictorial mark,0
183,morningstar,False,False,False,0.0,Abstract mark,1
186,loews hotels,False,False,False,0.0,Abstract mark,1
187,hntb,False,False,False,0.0,Abstract mark,1
192,ticketmaster,False,False,False,0.0,Abstract mark,1
193,carat,False,False,False,0.0,Abstract mark,1
194,sonda,False,False,False,0.0,Abstract mark,1
197,computershare,True,False,False,0.0,Pictorial mark,0
200,consellería de educación,False,False,False,0.0,Abstract mark,1
201,fairmont hotels & resorts,False,False,False,0.0,Abstract mark,1
204,office administration,False,False,False,0.0,Abstract mark,1
206,travelers,False,False,False,0.0,Abstract mark,1
208,"vxi global solutions, llc",False,False,False,0.0,Abstract mark,1
209,dolby laboratories,False,False,False,0.0,Abstract mark,1
210,ucsf,False,False,False,0.0,Abstract mark,1
212,norwegian cruise line,False,False,False,0.0,Abstract mark,1
213,a.t. kearney,False,False,False,0.0,Abstract mark,1
224,dupage medical group,False,False,False,0.0,Abstract mark,1
228,guitar center,False,False,False,0.0,Abstract mark,1
236,damac properties,False,False,False,0.0,Abstract mark,1
239,ruffalo noel levitz,False,False,False,0.0,Abstract mark,1
240,efi,False,False,False,0.0,Abstract mark,1
249,ministry of social development (msd),False,False,False,0.0,Abstract mark,1
250,next group plc,False,False,False,0.0,Abstract mark,1
252,johnson & johnson medical,False,False,False,0.0,Abstract mark,1
253,british gas,False,False,False,0.0,Abstract mark,1
257,university of basel,False,False,False,0.0,Abstract mark,1
260,health service executive,False,False,False,0.0,Abstract mark,1
262,ameren,False,False,False,0.0,Abstract mark,1
263,hexagon manufacturing intelligence,False,False,False,0.0,Abstract mark,1
265,gems education,False,False,False,0.0,Abstract mark,1
268,cunningham lindsey,False,False,False,0.0,Abstract mark,1
269,deloitte uk,False,False,False,0.0,Abstract mark,1
271,burberry,False,False,False,0.0,Abstract mark,1
273,urban outfitters,False,False,False,0.0,Abstract mark,1
279,hcl comnet limited,False,False,False,0.0,Abstract mark,1
282,uva health system,False,False,False,0.0,Abstract mark,1
283,allina health,False,False,False,0.0,Abstract mark,1
285,public health agency of canada,False,False,False,0.0,Abstract mark,1
286,southern company,True,False,False,0.0,Pictorial mark,0
291,deloitte australia,False,False,False,0.0,Abstract mark,1
294,komerční banka,False,False,False,0.0,Abstract mark,1
295,woolworths limited,False,False,False,0.0,Abstract mark,1
296,civica,False,False,False,0.0,Abstract mark,1
297,trek bicycle corporation,True,False,False,0.0,Pictorial mark,0
300,pwc hong kong and mainland china,False,False,False,0.0,Abstract mark,1
301,ministère des transports du québec,False,False,False,0.0,Abstract mark,1
303,parsons corporation,False,False,False,0.0,Abstract mark,1
306,gatehouse media,False,False,False,0.0,Abstract mark,1
308,tupy,False,False,False,0.0,Abstract mark,1
312,stifel financial corp.,False,False,False,0.0,Abstract mark,1
313,pt bank mandiri (persero) tbk.,False,False,False,0.0,Abstract mark,1
314,parfums christian dior,False,False,False,0.0,Abstract mark,1
316,wipfli llp,False,False,False,0.0,Abstract mark,1
317,universal studios hollywood,False,False,False,0.0,Abstract mark,1
319,avison young,False,False,False,0.0,Abstract mark,1
320,sartorius stedim biotech,False,False,False,0.0,Abstract mark,1
327,le-vel.com,False,False,False,0.0,Abstract mark,1
328,hcl infosystems ltd,False,False,False,0.0,Abstract mark,1
329,accenture,False,False,False,0.0,Abstract mark,1
331,statistics canada,False,False,False,0.0,Abstract mark,1
333,"lexmark international, inc.",False,False,False,0.0,Abstract mark,1
336,the timken company,False,False,False,0.0,Abstract mark,1
337,boc south pacific,False,False,False,0.0,Abstract mark,1
346,ricoh uk,False,False,False,0.0,Abstract mark,1
350,cabot corporation,False,False,False,0.0,Abstract mark,1
352,provincie noord-brabant,False,False,False,0.0,Abstract mark,1
355,thales,False,False,False,0.0,Abstract mark,1
359,cna idiomas  oficial,False,False,False,0.0,Abstract mark,1
370,azad university,False,False,False,0.0,Abstract mark,1
371,gardner denver,False,False,False,0.0,Abstract mark,1
372,start people,False,False,False,0.0,Abstract mark,1
374,access bank plc,False,False,False,0.0,Abstract mark,1
378,belfius,False,False,False,0.0,Abstract mark,1
381,lancaster university,False,False,False,0.0,Abstract mark,1
386,work,False,False,False,0.0,Abstract mark,1
387,nuance communications,False,False,False,0.0,Abstract mark,1
388,stv,False,False,False,0.0,Abstract mark,1
390,--undisclosed--,False,False,False,0.0,Abstract mark,1
394,tsc,False,False,False,0.0,Abstract mark,1
396,albemarle corporation,False,False,False,0.0,Abstract mark,1
405,jd.com,False,False,False,0.0,Abstract mark,1
406,sungard,True,False,False,0.0,Pictorial mark,0
407,service public de wallonie,False,False,False,0.0,Abstract mark,1
414,tieto,False,False,False,0.0,Abstract mark,1
416,komatsu,False,False,False,0.0,Abstract mark,1
417,reed business information,False,False,False,0.0,Abstract mark,1
421,university of puerto rico,False,False,False,0.0,Abstract mark,1
423,tektronix,False,False,False,0.0,Abstract mark,1
426,eriks,True,False,False,0.0,Pictorial mark,0
427,coca-cola femsa,False,False,False,0.0,Abstract mark,1
430,chs,False,False,False,0.0,Abstract mark,1
434,aimco,False,False,False,0.0,Abstract mark,1
437,louis dreyfus company,False,False,False,0.0,Abstract mark,1
440,seaworld parks & entertainment,False,False,False,0.0,Abstract mark,1
444,mosaic,False,False,False,0.0,Abstract mark,1
446,roskilde university,False,False,False,0.0,Abstract mark,1
447,fred meyer,True,False,False,0.0,Pictorial mark,0
449,efu life assurance ltd.,False,False,False,0.0,Abstract mark,1
453,aramark,False,False,False,0.0,Abstract mark,1
455,kadaster,False,False,False,0.0,Abstract mark,1
456,woolworths,False,False,False,0.0,Abstract mark,1
458,sandia national laboratories,True,False,False,0.0,Pictorial mark,0
459,bernhard schulte shipmanagement,False,False,False,0.0,Abstract mark,1
460,city of fort worth,False,False,False,0.0,Abstract mark,1
464,disa,False,False,False,0.0,Abstract mark,1
478,hsbc global banking and markets,False,False,False,0.0,Abstract mark,1
485,kinder morgan,False,False,False,0.0,Abstract mark,1
486,asia pulp & paper,False,False,False,0.0,Abstract mark,1
488,wns global services,False,False,False,0.0,Abstract mark,1
489,netsuite,False,False,False,0.0,Abstract mark,1
493,idaho state university,False,False,False,0.0,Abstract mark,1
495,printemps,False,False,False,0.0,Abstract mark,1
501,nj transit,False,False,False,0.0,Abstract mark,1
504,plano isd,False,False,False,0.0,Abstract mark,1
510,delphi,False,False,False,0.0,Abstract mark,1
511,gymboree,False,False,False,0.0,Abstract mark,1
512,fortinet,False,False,False,0.0,Abstract mark,1
513,iese business school,False,False,False,0.0,Abstract mark,1
521,barneys new york,False,False,False,0.0,Abstract mark,1
522,music direct,False,False,False,0.0,Abstract mark,1
523,cgi,False,False,False,0.0,Abstract mark,1
525,unam,False,False,False,0.0,Abstract mark,1
530,prohealth care,False,False,False,0.0,Abstract mark,1
536,"johnson & johnson vision care, inc.",False,False,False,0.0,Abstract mark,1
542,university of pavia,False,False,False,0.0,Abstract mark,1
544,novitex enterprise solutions,False,False,False,0.0,Abstract mark,1
545,botkyrka kommun,False,False,False,0.0,Abstract mark,1
546,tv azteca,False,False,False,0.0,Abstract mark,1
547,mylan,False,False,False,0.0,Abstract mark,1
550,campus crusade for christ,False,False,False,0.0,Abstract mark,1
554,widener university,False,False,False,0.0,Abstract mark,1
558,vertiv co,False,False,False,0.0,Abstract mark,1
559,loyens & loeff,False,False,False,0.0,Abstract mark,1
561,monash university,False,False,False,0.0,Abstract mark,1
562,t.d. williamson,True,False,False,0.0,Pictorial mark,0
568,gentex corporation,False,False,False,0.0,Abstract mark,1
572,servicemaster,False,False,False,0.0,Abstract mark,1
574,cz,False,False,False,0.0,Abstract mark,1
575,ncc limited,False,False,False,0.0,Abstract mark,1
576,dish network,True,False,False,0.0,Pictorial mark,0
577,ascension,True,False,False,0.0,Pictorial mark,0
582,remax real estate,False,False,False,0.0,Abstract mark,1
583,! cb repossessions !,False,False,False,0.0,Abstract mark,1
584,wsp in canada,True,False,False,0.0,Pictorial mark,0
586,caixabank,False,False,False,0.0,Abstract mark,1
587,forbes marshall,False,False,False,0.0,Abstract mark,1
591,academy of art university,False,False,False,0.0,Abstract mark,1
599,vipkid,False,False,False,0.0,Abstract mark,1
604,university of massachusetts amherst,False,False,False,0.0,Abstract mark,1
605,ute,False,False,False,0.0,Abstract mark,1
606,raytheon,True,False,False,0.0,Pictorial mark,0
607,state of ohio,False,False,False,0.0,Abstract mark,1
608,marine nationale,False,False,False,0.0,Abstract mark,1
616,gate gourmet,False,False,False,0.0,Abstract mark,1
618,mcdonald's corporation,False,False,False,0.0,Abstract mark,1
619,netscout,False,False,False,0.0,Abstract mark,1
621,kennedy health system,False,False,False,0.0,Abstract mark,1
630,real madrid c.f.,False,False,False,0.0,Abstract mark,1
631,cuenta propia,False,False,False,0.0,Abstract mark,1
632,aramex,False,False,False,0.0,Abstract mark,1
634,world food programme,True,False,False,0.0,Pictorial mark,0
639,einstein healthcare network,False,False,False,0.0,Abstract mark,1
644,hearst magazines,False,False,False,0.0,Abstract mark,1
652,state bank of india,False,False,False,0.0,Abstract mark,1
653,western michigan university,True,False,False,0.0,Pictorial mark,0
658,dell technologies,False,False,False,0.0,Abstract mark,1
661,university of guelph,False,False,False,0.0,Abstract mark,1
665,the co-operative bank plc,True,False,False,0.0,Pictorial mark,0
669,state of tennessee,True,False,False,0.0,Pictorial mark,0
672,mammoet,False,False,False,0.0,Abstract mark,1
675,adesa,True,False,False,0.0,Pictorial mark,0
676,université de lorraine,False,False,False,0.0,Abstract mark,1
682,pwc españa,False,False,False,0.0,Abstract mark,1
683,university of maryland baltimore county,False,False,False,0.0,Abstract mark,1
684,university of maryland university college,False,False,False,0.0,Abstract mark,1
685,richemont,False,False,False,0.0,Abstract mark,1
688,lexus,False,False,False,0.0,Abstract mark,1
689,"amtrust financial services, inc. (afsi)",False,False,False,0.0,Abstract mark,1
693,interline brands,False,False,False,0.0,Abstract mark,1
696,arista networks,False,False,False,0.0,Abstract mark,1
699,larsen & toubro,True,False,False,0.0,Pictorial mark,0
701,national institute of standards and technology,False,False,False,0.0,Abstract mark,1
702,gamil design,False,False,False,0.0,Abstract mark,1
707,teacher,False,False,False,0.0,Abstract mark,1
711,verifone,False,False,False,0.0,Abstract mark,1
712,university of maryland,False,False,False,0.0,Abstract mark,1
713,sellafield ltd,False,False,False,0.0,Abstract mark,1
716,djo global,False,False,False,0.0,Abstract mark,1
719,enea,False,False,False,0.0,Abstract mark,1
721,oneamerica,False,False,False,0.0,Abstract mark,1
724,usa today,False,False,False,0.0,Abstract mark,1
726,cvs health,False,False,False,0.0,Abstract mark,1
727,pwc nederland,False,False,False,0.0,Abstract mark,1
728,dunkin' brands,False,False,False,0.0,Abstract mark,1
738,earthlink,False,False,False,0.0,Abstract mark,1
745,mcdonald´s,False,False,False,0.0,Abstract mark,1
746,philips,False,False,False,0.0,Abstract mark,1
747,ziraat bankası,False,False,False,0.0,Abstract mark,1
749,vakıfbank,False,False,False,0.0,Abstract mark,1
752,t-mobile czech republic a.s.,False,False,False,0.0,Abstract mark,1
757,almac group,False,False,False,0.0,Abstract mark,1
759,forever 21,False,False,False,0.0,Abstract mark,1
764,aurizon,False,False,False,0.0,Abstract mark,1
765,bell media,True,False,False,0.0,Pictorial mark,0
766,rodan + fields,False,False,False,0.0,Abstract mark,1
767,københavns kommune,False,False,False,0.0,Abstract mark,1
771,xilinx,False,False,False,0.0,Abstract mark,1
772,meliá hotels international,False,False,False,0.0,Abstract mark,1
775,ges,False,False,False,0.0,Abstract mark,1
778,technische universität münchen,True,False,False,0.0,Pictorial mark,0
781,lincoln property company,False,False,False,0.0,Abstract mark,1
784,"michaels stores, inc.",False,False,False,0.0,Abstract mark,1
786,non,False,False,False,0.0,Abstract mark,1
789,commscope,False,False,False,0.0,Abstract mark,1
791,tenneco,False,False,False,0.0,Abstract mark,1
792,siegwerk,False,False,False,0.0,Abstract mark,1
794,nbc news,False,False,False,0.0,Abstract mark,1
795,eth zurich,False,False,False,0.0,Abstract mark,1
798,radboudumc,False,False,False,0.0,Abstract mark,1
802,altera,False,False,False,0.0,Abstract mark,1
804,msc mediterranean shipping company,False,False,False,0.0,Abstract mark,1
807,unicredit,False,False,False,0.0,Abstract mark,1
809,community health systems,False,False,False,0.0,Abstract mark,1
813,rover.com,False,False,False,0.0,Abstract mark,1
816,"regeneron pharmaceuticals, inc.",False,False,False,0.0,Abstract mark,1
817,na 2010 - the north american material handling & logistics show,False,False,False,0.0,Abstract mark,1
819,pacific sunwear,True,False,False,0.0,Pictorial mark,0
821,kaiser permanente,True,False,False,0.0,Pictorial mark,0
825,railway,False,False,False,0.0,Abstract mark,1
826,penn state university,False,False,False,0.0,Abstract mark,1
827,cartier,False,False,False,0.0,Abstract mark,1
829,accorhotels,False,False,False,0.0,Abstract mark,1
831,north memorial health care,False,False,False,0.0,Abstract mark,1
836,mbta,False,False,False,0.0,Abstract mark,1
838,university of tennessee,True,False,False,0.0,Pictorial mark,0
845,burns & mcdonnell,False,False,False,0.0,Abstract mark,1
846,lia sophia,False,False,False,0.0,Abstract mark,1
847,pwc luxembourg,False,False,False,0.0,Abstract mark,1
848,armée de terre,False,False,False,0.0,Abstract mark,1
852,at&t,False,False,False,0.0,Abstract mark,1
854,united arab shipping company (s.a.g.),False,False,False,0.0,Abstract mark,1
857,king & spalding,False,False,False,0.0,Abstract mark,1
859,abanca,False,False,False,0.0,Abstract mark,1
860,centerpoint energy,False,False,False,0.0,Abstract mark,1
